速度,馬拉松舒適指數,距離,預測人數,預測時間,Tianzhong,溫度,濕度,熱中暑危險係數,空氣品質指標,細懸浮微粒,蒲福風級,小時雨量
10.51 ,0,30000 ,381.50 ,10274.413 ,group_0,24.9,87,24.9,28,22,1,0.0
9.68 ,0,30000 ,763.00 ,11155.835 ,,24.9,87,24.9,28,22,1,0.0
9.10 ,0,30000 ,1144.50 ,11865.858 ,,24.9,87,24.9,28,22,1,0.0
7.84 ,0,30000 ,1526.00 ,13778.190 ,,26.4,87,26.4,35,23,1,0.0
8.15 ,0,30000 ,504.00 ,13245.183 ,group_1,26.4,87,26.4,35,23,1,0.0
7.76 ,0,30000 ,1008.00 ,13925.110 ,,26.4,87,26.4,35,23,1,0.0
7.34 ,0,30000 ,1512.00 ,14721.913 ,,26.4,87,26.4,35,23,1,0.0
6.31 ,0,30000 ,2016.00 ,17125.810 ,,27.9,87,27.9,42,19,1,0.0
10.16 ,0,36800 ,378.00 ,13035.338 ,group_0,24.9,79,24.9,28,22,1,0.0
9.30 ,0,36800 ,756.00 ,14238.935 ,,26.4,79,26.4,35,23,1,0.0
8.78 ,0,36800 ,1134.00 ,15087.048 ,,26.4,79,26.4,35,23,1,0.0
8.15 ,0,36800 ,1512.00 ,16264.930 ,,26.4,79,26.4,35,23,1,0.0
7.79 ,0,36800 ,507.50 ,16999.148 ,group_1,27.9,79,27.9,42,19,1,0.0
7.41 ,0,36800 ,1015.00 ,17881.685 ,,27.9,76,27.9,42,19,1,0.0
7.06 ,0,36800 ,1522.50 ,18760.218 ,,27.9,76,27.9,42,19,1,0.0
6.51 ,0,36800 ,2030.00 ,20357.780 ,,27.9,76,27.9,42,19,1,0.0
10.09 ,0,40000 ,375.75 ,14264.985 ,group_0,26.4,76,26.4,35,23,1,0.0
9.21 ,0,40000 ,751.50 ,15642.090 ,,26.4,76,26.4,35,23,1,0.0
8.73 ,0,40000 ,1127.25 ,16500.150 ,,26.4,76,26.4,35,23,1,0.0
7.87 ,0,40000 ,1503.00 ,18287.010 ,,27.9,71,27.9,42,19,1,0.0
7.73 ,0,40000 ,509.75 ,18623.485 ,group_1,27.9,71,27.9,42,19,1,0.0
7.33 ,0,40000 ,1019.50 ,19647.140 ,,27.9,71,27.9,42,19,1,0.0
7.01 ,0,40000 ,1529.25 ,20538.635 ,,29.0,67,29.0,44,22,2,0.0
6.50 ,0,40000 ,2039.00 ,22163.690 ,,29.0,67,29.0,44,22,2,0.0
10.10 ,0,42195 ,372.00 ,15033.650 ,group_0,26.4,76,26.4,35,23,1,0.0
9.23 ,0,42195 ,744.00 ,16455.820 ,,26.4,76,26.4,35,23,1,0.0
8.76 ,0,42195 ,1116.00 ,17345.370 ,,27.9,71,27.9,42,23,1,0.0
8.25 ,0,42195 ,1488.00 ,18413.940 ,,27.9,71,27.9,42,19,1,0.0
7.76 ,0,42195 ,513.50 ,19577.260 ,group_1,27.9,71,27.9,42,19,1,0.0
7.34 ,0,42195 ,1027.00 ,20700.930 ,,29.0,67,29.0,44,22,2,0.0
7.03 ,0,42195 ,1540.50 ,21620.195 ,,29.0,67,29.0,44,22,2,0.0
6.53 ,0,42195 ,2054.00 ,23275.170 ,,29.0,67,29.0,44,22,2,0.0
10.40 ,0,9200 ,902.75 ,3185.945 ,Tianzhong_2019  group_0,22.3,90,31.3,26,24,1,0.0
9.27 ,0,9200 ,1805.50 ,3571.320 ,,22.3,90,31.3,26,24,1,0.0
8.47 ,0,9200 ,2708.25 ,3907.970 ,,22.3,90,31.3,26,24,1,0.0
6.43 ,0,9200 ,3611.00 ,5147.700 ,,22.3,90,31.3,26,24,1,0.0
2.12 ,0,9200 ,33.25 ,15653.280 ,group_1,25.5,76,33.1,47,28,1,0.0
1.95 ,0,9200 ,66.50 ,16952.310 ,,26.9,71,34.0,57,30,2,0.0
1.80 ,0,9200 ,99.75 ,18368.920 ,,26.9,71,34.0,57,30,2,0.0
1.54 ,0,9200 ,133.00 ,21536.110 ,,27.7,67,34.4,60,33,2,0.0
11.13 ,0,16700 ,414.00 ,5403.898 ,group_0,22.3,90,31.3,26,24,1,0.0
10.36 ,0,16700 ,828.00 ,5805.595 ,,22.3,90,31.3,26,24,1,0.0
9.74 ,0,16700 ,1242.00 ,6170.828 ,,23.1,87,31.8,30,22,1,0.0
9.24 ,0,16700 ,1656.00 ,6508.200 ,,23.1,87,31.8,30,22,1,0.0
9.48 ,0,16700 ,33.25 ,6341.870 ,group_1,23.1,87,31.8,30,22,1,0.0
8.96 ,0,16700 ,66.50 ,6710.410 ,,23.1,87,31.8,30,22,1,0.0
8.49 ,0,16700 ,99.75 ,7083.840 ,,23.1,87,31.8,30,22,1,0.0
7.39 ,0,16700 ,133.00 ,8140.740 ,,23.1,87,31.8,30,22,1,0.0
8.78 ,0,16700 ,488.75 ,6844.365 ,group_2,23.1,87,31.8,30,22,1,0.0
8.31 ,0,16700 ,977.50 ,7230.780 ,,23.1,87,31.8,30,22,1,0.0
7.90 ,0,16700 ,1466.25 ,7610.520 ,,23.1,87,31.8,30,22,1,0.0
6.38 ,0,16700 ,1955.00 ,9422.300 ,,23.1,87,31.8,30,22,1,0.0
10.89 ,0,30000 ,432.50 ,9921.633 ,group_0,24.5,79,32.4,37,21,1,0.0
9.95 ,0,30000 ,865.00 ,10858.430 ,,24.5,79,32.4,37,21,1,0.0
9.34 ,0,30000 ,1297.50 ,11564.945 ,,24.5,79,32.4,37,21,1,0.0
8.34 ,0,30000 ,1730.00 ,12942.190 ,,24.5,79,32.4,37,21,1,0.0
8.36 ,0,30000 ,503.50 ,12922.663 ,group_1,24.5,79,32.4,37,21,1,0.0
7.89 ,0,30000 ,1007.00 ,13695.540 ,,25.5,76,33.1,47,28,1,0.0
7.44 ,0,30000 ,1510.50 ,14513.023 ,,25.5,76,33.1,47,28,1,0.0
6.56 ,0,30000 ,2014.00 ,16473.490 ,,25.5,76,33.1,47,28,1,0.0
10.39 ,0,40500 ,437.75 ,14035.910 ,group_0,25.5,76,33.1,47,28,1,0.0
9.48 ,0,40500 ,875.50 ,15376.370 ,,25.5,76,33.1,47,28,1,0.0
8.82 ,0,40500 ,1313.25 ,16539.595 ,,25.5,76,33.1,47,28,1,0.0
7.88 ,0,40500 ,1751.00 ,18505.220 ,,26.9,71,34.0,57,30,2,0.0
7.83 ,0,40500 ,498.25 ,18631.760 ,group_1,26.9,71,34.0,57,30,2,0.0
