,開始時間,開始時間(第0群),開始時間(第1群),開始時間(第2群),9.2K感應點,9.2K感應點(第0群),9.2K感應點(第1群),16.7K感應點,16.7K感應點(第0群),16.7K感應點(第1群),16.7K感應點(第2群),30K感應點,30K感應點(第0群),30K感應點(第1群),40.5K感應點,40.5K感應點(第0群),40.5K感應點(第1群),晶片成績,晶片成績(第0群),晶片成績(第1群)
count,3744.0,2302.0,1409.0,33.0,3744.0,3611.0,133.0,3744.0,1656.0,133.0,1955.0,3744.0,1730.0,2014.0,3744.0,1751.0,1993.0,3744.0,1733.0,2011.0
mean,00:02:14,00:01:07,00:03:46,00:14:36,01:06:58,00:59:04,04:41:46,01:49:31,01:35:31,01:51:09,02:01:15,03:25:45,02:58:05,03:49:30,04:53:04,04:12:30,05:28:42,05:08:36,04:25:19,05:45:54
std,00:02:01,00:00:42,00:01:05,00:06:16,00:42:29,00:08:09,00:34:29,00:15:24,00:09:02,00:11:22,00:08:31,00:31:06,00:18:13,00:17:04,00:45:25,00:27:39,00:22:07,00:47:40,00:28:33,00:22:54
min,00:00:00,00:00:00,00:02:27,00:09:36,00:32:22,00:32:22,03:12:50,00:59:44,00:59:44,01:21:03,01:48:16,01:49:02,01:49:02,03:14:44,02:27:21,02:27:21,04:44:08,02:35:06,02:35:06,05:04:41
25%,00:00:50,00:00:29,00:02:55,00:10:09,00:53:20,00:53:05,04:20:53,01:38:19,01:30:03,01:45:41,01:54:04,03:02:48,02:45:21,03:35:22,04:18:25,03:53:55,05:10:31,04:31:48,04:06:35,05:26:41
50%,00:01:53,00:01:04,00:03:33,00:11:41,00:59:55,00:59:31,04:42:32,01:50:15,01:36:45,01:51:50,02:00:30,03:26:53,03:00:58,03:48:15,04:56:04,04:16:16,05:29:12,05:12:33,04:29:11,05:46:39
75%,00:03:11,00:01:42,00:04:21,00:17:40,01:05:50,01:05:07,05:06:08,02:01:19,01:42:50,01:58:03,02:06:50,03:50:07,03:12:44,04:01:53,05:30:46,04:35:39,05:45:43,05:49:06,04:49:12,06:03:35
max,00:41:11,00:02:26,00:08:42,00:41:11,05:58:56,01:25:47,05:58:56,02:37:02,01:48:28,02:15:40,02:37:02,04:34:33,03:35:42,04:34:33,06:21:28,05:08:25,06:21:28,06:41:15,05:06:35,06:41:15
