,開始時間,開始時間(第0群),開始時間(第1群),開始時間(第2群),開始時間(第3群),10K感應點,10K感應點(第0群),10K感應點(第1群),20K感應點,20K感應點(第0群),20K感應點(第1群),30K感應點,30K感應點(第0群),30K感應點(第1群),36K感應點,36K感應點(第0群),36K感應點(第1群),40K感應點,40K感應點(第0群),40K感應點(第1群),晶片成績,晶片成績(第0群),晶片成績(第1群)
count,2813.0,1678.0,1101.0,27.0,7.0,2813.0,1464.0,1349.0,2813.0,1494.0,1319.0,2813.0,1607.0,1206.0,2813.0,1642.0,1171.0,2813.0,1641.0,1172.0,2813.0,1641.0,1172.0
mean,00:02:13,00:00:59,00:03:42,00:12:12,00:25:50,01:05:45,00:58:07,01:14:03,02:11:42,01:55:56,02:29:34,03:27:24,03:01:57,04:01:18,04:13:20,03:42:13,04:56:58,04:41:32,04:06:23,05:30:44,04:58:50,04:21:33,05:51:02
std,00:02:11,00:00:41,00:00:57,00:02:33,00:01:29,00:09:34,00:05:28,00:05:09,00:19:54,00:10:56,00:10:22,00:33:40,00:17:42,00:14:34,00:41:34,00:22:08,00:14:16,00:46:39,00:24:27,00:15:20,00:49:27,00:25:55,00:16:04
min,00:00:00,00:00:00,00:02:21,00:08:12,00:22:37,00:38:28,00:38:28,01:03:44,01:15:34,01:15:34,02:08:00,01:54:38,01:54:38,03:25:02,02:17:23,02:17:23,04:16:26,02:31:30,02:31:30,04:51:45,02:42:02,02:42:02,05:14:00
25%,00:00:46,00:00:21,00:02:57,00:10:40,00:25:43,00:58:46,00:54:34,01:09:44,01:56:31,01:48:48,02:21:39,03:01:42,02:49:45,03:50:38,03:42:06,03:26:30,04:45:18,04:05:44,03:49:16,05:17:54,04:20:47,04:02:54,05:38:04
50%,00:01:50,00:00:56,00:03:34,00:11:40,00:26:34,01:05:29,00:59:02,01:13:48,02:10:02,01:57:27,02:29:31,03:21:29,03:05:20,04:00:20,04:05:21,03:46:26,04:55:48,04:32:24,04:11:03,05:29:59,04:49:08,04:26:33,05:51:07
75%,00:03:18,00:01:33,00:04:19,00:13:01,00:26:41,01:13:23,01:02:32,01:17:37,02:28:41,02:04:35,02:37:05,03:56:39,03:16:11,04:10:34,04:51:13,04:00:35,05:06:50,05:25:18,04:26:49,05:42:21,05:45:45,04:42:58,06:03:20
max,00:26:49,00:02:20,00:07:50,00:18:21,00:26:49,01:31:29,01:06:49,01:31:29,03:01:07,02:20:46,03:01:07,04:50:29,03:40:15,04:50:29,05:38:13,04:18:01,05:38:13,06:10:39,04:42:14,06:10:39,06:33:43,05:03:37,06:33:43
