,開始時間,開始時間(第0群),開始時間(第1群),開始時間(第2群),開始時間(第3群),10K感應點,10K感應點(第0群),10K感應點(第1群),20K感應點,20K感應點(第0群),20K感應點(第1群),30K感應點,30K感應點(第0群),30K感應點(第1群),36K感應點,36K感應點(第0群),36K感應點(第1群),40K感應點,40K感應點(第0群),40K感應點(第1群),晶片成績,晶片成績(第0群),晶片成績(第1群)
count,2813.0,1678.0,1101.0,27.0,7.0,2813.0,1464.0,1349.0,2813.0,1494.0,1319.0,2813.0,1607.0,1206.0,2813.0,1642.0,1171.0,2813.0,1641.0,1172.0,2813.0,1641.0,1172.0
mean,06:22:16,06:21:02,06:23:45,06:32:15,06:45:53,07:25:48,07:18:10,07:34:06,08:31:45,08:15:59,08:49:37,09:47:27,09:22:00,10:21:21,10:33:23,10:02:16,11:17:01,11:01:35,10:26:26,11:50:47,11:18:53,10:41:36,12:11:05
std,00:02:11,00:00:41,00:00:57,00:02:33,00:01:29,00:09:34,00:05:28,00:05:09,00:19:54,00:10:56,00:10:22,00:33:40,00:17:42,00:14:34,00:41:34,00:22:08,00:14:16,00:46:39,00:24:27,00:15:20,00:49:27,00:25:55,00:16:04
min,06:20:03,06:20:03,06:22:24,06:28:15,06:42:40,06:58:31,06:58:31,07:23:47,07:35:37,07:35:37,08:28:03,08:14:41,08:14:41,09:45:05,08:37:26,08:37:26,10:36:29,08:51:33,08:51:33,11:11:48,09:02:05,09:02:05,11:34:03
25%,06:20:49,06:20:24,06:23:00,06:30:43,06:45:46,07:18:49,07:14:37,07:29:47,08:16:34,08:08:51,08:41:42,09:21:45,09:09:48,10:10:41,10:02:09,09:46:33,11:05:21,10:25:47,10:09:19,11:37:57,10:40:50,10:22:57,11:58:07
50%,06:21:53,06:20:59,06:23:37,06:31:43,06:46:37,07:25:32,07:19:05,07:33:51,08:30:05,08:17:30,08:49:34,09:41:32,09:25:23,10:20:23,10:25:24,10:06:29,11:15:51,10:52:27,10:31:06,11:50:02,11:09:11,10:46:36,12:11:10
75%,06:23:21,06:21:36,06:24:22,06:33:04,06:46:44,07:33:26,07:22:35,07:37:40,08:48:44,08:24:38,08:57:08,10:16:42,09:36:14,10:30:37,11:11:16,10:20:38,11:26:53,11:45:21,10:46:52,12:02:24,12:05:48,11:03:01,12:23:23
max,06:46:52,06:22:23,06:27:53,06:38:24,06:46:52,07:51:32,07:26:52,07:51:32,09:21:10,08:40:49,09:21:10,11:10:32,10:00:18,11:10:32,11:58:16,10:38:04,11:58:16,12:30:42,11:02:17,12:30:42,12:53:46,11:23:40,12:53:46
