,開始時間,開始時間(第0群),開始時間(第1群),10K感應點,10K感應點(第0群),10K感應點(第1群),20K感應點,20K感應點(第0群),20K感應點(第1群),30K感應點,30K感應點(第0群),30K感應點(第1群),36.8K感應點,36.8K感應點(第0群),36.8K感應點(第1群),40K感應點,40K感應點(第0群),40K感應點(第1群),晶片成績,晶片成績(第0群),晶片成績(第1群)
count,3542.0,2254.0,1288.0,3542.0,2015.0,1527.0,3542.0,1510.0,2032.0,3542.0,1526.0,2016.0,3542.0,1512.0,2030.0,3542.0,1503.0,2039.0,3542.0,1488.0,2054.0
mean,06:22:06,06:21:07,06:23:51,07:26:30,07:22:17,07:32:04,08:34:13,08:16:17,08:47:33,09:51:29,09:22:40,10:13:18,10:49:55,10:12:18,11:17:56,11:15:59,10:34:33,11:46:31,11:31:37,10:47:42,12:03:26
std,00:01:39,00:00:44,00:01:21,00:10:28,00:08:24,00:10:20,00:18:48,00:11:17,00:10:14,00:30:26,00:18:52,00:15:56,00:38:43,00:24:15,00:18:25,00:42:11,00:26:14,00:19:38,00:44:15,00:27:18,00:20:39
min,06:19:59,06:19:59,06:22:29,06:57:40,06:57:40,07:08:34,07:34:29,07:34:29,08:10:42,08:14:23,08:14:23,09:37:38,08:42:19,08:42:19,10:40:13,08:55:08,08:55:08,11:08:07,09:03:02,09:03:02,11:23:52
25%,06:20:47,06:20:26,06:22:59,07:20:05,07:16:28,07:27:01,08:20:58,08:09:35,08:39:32,09:29:44,09:11:13,10:00:44,10:23:08,09:57:14,11:03:18,10:46:15,10:17:44,11:30:22,11:00:31,10:30:32,11:46:16
50%,06:21:50,06:21:03,06:23:36,07:26:51,07:22:00,07:31:50,08:35:20,08:18:11,08:46:50,09:53:58,09:25:54,10:12:04,10:54:54,10:17:17,11:18:00,11:22:22,10:40:41,11:47:26,11:37:41,10:54:14,12:04:59
75%,06:23:06,06:21:44,06:24:26,07:33:01,07:28:01,07:36:26,08:48:27,08:25:26,08:54:23,10:15:12,09:37:44,10:25:20,11:22:00,10:31:26,11:32:39,11:52:10,10:54:59,12:02:17,12:09:49,11:09:04,12:20:19
max,06:45:37,06:22:29,06:45:37,09:57:40,07:49:00,09:57:40,09:33:48,08:32:11,09:33:48,11:05:24,10:09:37,11:05:24,11:59:16,10:51:03,11:59:16,12:29:22,11:24:46,12:29:22,12:47:54,11:26:52,12:47:54
